Status,Name,Topic,Completed,URL,Subcategory,Time:,Thumbnail,Date
Already watched,“Do you have ADHD?” Let’s find out,Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7370722436586769696?_t=ZP-8sdRghzZ475&_r=1,Do I have ADHD?,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/I_have_ADHD_and_that_means....png,
Not yet watched,"If you do 10 out of these 12 things, it’s time to see a doctor",Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7413331503825898784?_t=ZP-8sdRZsRU7qg&_r=1,ADHD basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-04_at_6.32.42_PM.png,
Not yet watched,How to ski steep slopes,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/@alpine_ski_tutorials/video/7440793017243487520?_t=ZP-8sdR5dNGyp4&_r=1,Intermediate skiing,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Skiing_Steep_Slopes.png,
Not yet watched,Make quick turns,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/@alpine_ski_tutorials/video/7442817952891604257?_t=ZP-8sdR1drd68V&_r=1,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/To_make_quick_turns.png,
Not yet watched,Test your technique by lifting one left off the ground,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/@alpine_ski_tutorials/video/7435956277190069537?_r=1&_t=ZP-8sdQsWoFw8U,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/The_most_classic_drill.png,
Not yet watched,How to make fast turns,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/@alpine_ski_tutorials/video/7442817952891604257?_r=1&_t=ZP-8sdbzKLlqc2,Skiing basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Make_quick_turns.png,
Not yet watched,RSD is the worst part of ADHD,Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7450141516862967073?_r=1&_t=ZP-8sdReluucwR,ADHD basics,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Screenshot_2025-01-04_at_6.31.25_PM.png,
Not yet watched,"5 unofficial ADHD traits ",Learn about having ADHD (https://www.notion.so/Learn-about-having-ADHD-172ddbcd8a108142bfd7edcfc9785993?pvs=21),,https://www.tiktok.com/@adhd_chatter_podcast/video/7372185124684844320?lang=en&q=adhd&t=1734829130482,Do I have ADHD?,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/5_unofficial_ADHD_traits.png,
Not yet watched,How to break out of the intermediate skiing plateau,Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/t/ZP8F1yPFj/,Intermediate skiing,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/how_to_break_out_of_the_skiing_plateau_copy.png,
Not yet watched,"Steep turn technique ",Refining your skiing (https://www.notion.so/Refining-your-skiing-172ddbcd8a10810ea77ee15702371564?pvs=21),,https://www.tiktok.com/t/ZP8F18EY9/,Intermediate skiing,,Videos%20links%2018dddbcd8a1080daa23ad9562f0ed3e4/Steep_Turn_Training_copy.png,
